Iteration	model_type	hyperparameters	percentile	min_threshold	baseline_score	baseline_score_of_current_percentile	accuracy	sem	delta	random_state	num_gene_included	gene_set
0	logistic	{'C': 0.94736842105789465, 'penalty': 'l2'}	0.0	0.0	0.8448509485094851	0.8448509485094851	1.0	0.0	0.15514905149051494	0	113	['EG10771', 'EG10489', 'EG10091', 'EG11806', 'EG10660', 'G7724', 'G6784', 'EG10118', 'G6607', 'EG10773', 'G6546', 'EG10593', 'G6353', 'G0-10473', 'G7031', 'EG10998', 'G7917', 'G6990', 'EG11489', 'EG10617', 'G6783', 'G7166', 'EG10673', 'G8207', 'EG11498', 'EG11927', 'EG11398', 'EG10109', 'G0-10434', 'EG12242', 'EG11857', 'EG10140', 'G8202', 'G7236', 'G7921', 'EG11710', 'G7716', 'EG10283', 'G812', 'EG11495', 'EG11865', 'EG11450', 'EG11897', 'G7217', 'EG10361', 'EG11662', 'G7856', 'G6159', 'EG10757', 'G6325', 'EG11095', 'EG11769', 'G6700', 'EG10356', 'EG11242', 'EG10119', 'EG12062', 'G6916', 'EG10987', 'G7763', 'EG10725', 'G7734', 'EG10021', 'EG10601', 'EG11310', 'G6787', 'G6663', 'EG11693', 'EG10315', 'EG10576', 'EG11905', 'G6840', 'G6529', 'G6544', 'EG12341', 'EG10652', 'EG10297', 'G6658', 'EG10092', 'G6928', 'EG10787', 'G6656', 'G7920', 'EG10488', 'EG11302', 'EG10497', 'EG12861', 'G6466', 'G7075', 'EG12855', 'EG20249', 'G6863', 'EG11156', 'G7267', 'EG10988', 'EG10982', 'EG10602', 'EG10117', 'G7741', 'G7427', 'G6943', 'G6614', 'EG12261', 'EG12075', 'G7740', 'EG10121', 'G6664', 'EG10920', 'EG10491', 'EG12216', 'EG10111', 'EG12003', 'G7944']
1	logistic	{'penalty': 'l2', 'C': 1.0}	0.1	0.0	0.8448509485094851	0.8537488708220417	0.9991869918699188	0.0008130081300813007	0.15433604336043372	0	51	['EG10771', 'EG10489', 'EG10091', 'EG11806', 'EG10660', 'G7724', 'EG10118', 'G6784', 'G6607', 'EG10773', 'G6546', 'EG10593', 'G6353', 'G0-10473', 'G7031', 'EG10998', 'G6990', 'G7917', 'EG11489', 'EG10617', 'G6783', 'G7166', 'EG10673', 'EG11398', 'G8207', 'EG11498', 'EG11927', 'EG10109', 'EG12242', 'G0-10434', 'EG11857', 'G8202', 'G7236', 'EG10140', 'G7921', 'EG11710', 'G7716', 'G812', 'EG10283', 'EG11495', 'EG11450', 'EG11865', 'EG11897', 'G7217', 'EG11662', 'EG10757', 'G6159', 'EG10361', 'EG11095', 'G6325', 'G6700']
2	logistic	{'C': 0.94736842105789465, 'penalty': 'l2'}	0.2	0.0	0.8448509485094851	0.8643179765130985	0.9991869918699188	0.0008130081300813007	0.15433604336043372	0	54	['EG10771', 'EG10489', 'EG10091', 'EG11806', 'EG10660', 'G7724', 'EG10118', 'G6784', 'G6607', 'EG10773', 'G6546', 'EG10593', 'G6353', 'G0-10473', 'G7031', 'EG10998', 'G7917', 'G6990', 'EG11489', 'EG10617', 'G6783', 'G7166', 'EG10673', 'G8207', 'EG11398', 'EG11498', 'EG11927', 'EG10109', 'EG12242', 'G0-10434', 'EG11857', 'EG10140', 'G8202', 'G7236', 'EG11710', 'G7921', 'G7716', 'EG11495', 'G812', 'EG11865', 'EG10283', 'EG11450', 'EG11897', 'G7217', 'EG10757', 'EG11095', 'EG11662', 'G6159', 'EG10361', 'EG11769', 'G6325', 'G6700', 'G7856', 'EG10356']
3	logistic	{'penalty': 'l2', 'C': 1.0}	0.3	0.0	0.8448509485094851	0.8856820234869015	0.9991869918699188	0.0008130081300813007	0.15433604336043372	0	54	['EG10771', 'EG10489', 'EG10091', 'EG11806', 'EG10660', 'G7724', 'EG10118', 'G6784', 'G6607', 'EG10773', 'G6546', 'EG10593', 'G6353', 'G0-10473', 'G7031', 'EG10998', 'G7917', 'EG11489', 'G6990', 'EG10617', 'G6783', 'EG11398', 'EG10673', 'G7166', 'G8207', 'EG11927', 'EG11498', 'EG10109', 'G0-10434', 'EG12242', 'G8202', 'G7236', 'EG11857', 'EG10140', 'EG11710', 'G7921', 'G7716', 'EG11495', 'G812', 'EG11865', 'EG11897', 'EG10283', 'EG11450', 'G7217', 'EG10361', 'EG11095', 'EG11662', 'EG10757', 'G6159', 'EG11769', 'G6325', 'G7856', 'G6700', 'EG10356']
4	logistic	{'penalty': 'l2', 'C': 1.0}	0.4	0.0	0.8448509485094851	0.9123757904245708	0.9991869918699188	0.0008130081300813007	0.15433604336043372	0	51	['EG10771', 'EG10489', 'EG10091', 'EG11806', 'EG10660', 'G7724', 'EG10118', 'G6784', 'G6607', 'EG10773', 'EG10593', 'G6546', 'G6353', 'G0-10473', 'G7031', 'EG10998', 'G7917', 'EG11489', 'G6990', 'EG10617', 'G6783', 'EG10673', 'EG11398', 'G7166', 'G8207', 'EG11498', 'EG11927', 'EG10109', 'EG11857', 'G0-10434', 'G8202', 'G7236', 'EG12242', 'EG11710', 'EG10140', 'G7921', 'G7716', 'EG11495', 'G812', 'EG11450', 'EG11865', 'EG10283', 'EG11897', 'G7217', 'EG10361', 'EG11662', 'EG11095', 'G6159', 'EG11769', 'G7856', 'G6700']
5	logistic	{'penalty': 'l2', 'C': 1.0}	0.5	0.0	0.8448509485094851	0.9353206865401987	0.9991869918699188	0.0008130081300813007	0.15433604336043372	0	51	['EG10771', 'EG10489', 'EG10091', 'EG11806', 'EG10660', 'G7724', 'EG10118', 'G6784', 'G6607', 'EG10773', 'EG10593', 'G6546', 'G6353', 'G0-10473', 'G7031', 'EG10998', 'G7917', 'EG11489', 'G6990', 'G6783', 'EG11398', 'EG10617', 'EG10673', 'G7166', 'EG11498', 'G8207', 'EG11927', 'EG10109', 'EG11857', 'G0-10434', 'EG11710', 'G7236', 'G8202', 'EG12242', 'G7921', 'EG10140', 'G7716', 'EG11495', 'EG11865', 'EG11450', 'EG11897', 'G812', 'EG10283', 'EG10361', 'G7217', 'EG11095', 'EG11662', 'G6700', 'EG11769', 'G6325', 'G6159']
6	logistic	{'penalty': 'l2', 'C': 1.0}	0.6	0.0	0.8448509485094851	0.9565040650406504	0.9991869918699188	0.0008130081300813007	0.15433604336043372	0	51	['EG10771', 'EG10489', 'EG10091', 'EG11806', 'EG10660', 'G7724', 'EG10118', 'G6784', 'G6607', 'EG10773', 'EG10593', 'G6546', 'G6353', 'G0-10473', 'EG10998', 'G7031', 'EG11489', 'G7917', 'EG11398', 'G6990', 'EG10673', 'G6783', 'EG10617', 'EG11927', 'G8207', 'EG11498', 'G7166', 'EG10109', 'EG11857', 'G0-10434', 'G7236', 'EG11710', 'G8202', 'EG10140', 'EG12242', 'G7921', 'G7716', 'EG11495', 'EG11865', 'EG11450', 'EG11897', 'EG10361', 'G7217', 'EG10283', 'G812', 'EG11662', 'EG11095', 'EG11769', 'G6700', 'G6159', 'G7856']
7	logistic	{'C': 1.0, 'penalty': 'l2'}	0.7	0.0	0.8448509485094851	0.978590785907859	0.9991869918699188	0.0008130081300813007	0.15433604336043372	0	51	['EG10771', 'EG10489', 'EG10091', 'EG10660', 'EG11806', 'G7724', 'EG10118', 'G6784', 'G6607', 'EG10773', 'EG10593', 'G6546', 'G6353', 'G0-10473', 'G7031', 'EG10998', 'EG11489', 'G7917', 'EG11398', 'G6990', 'EG10673', 'G6783', 'EG10617', 'EG11927', 'G8207', 'EG11498', 'G7166', 'EG10109', 'G0-10434', 'EG11710', 'EG11857', 'G8202', 'G7236', 'G7921', 'EG10140', 'G7716', 'EG12242', 'EG11495', 'EG10361', 'EG11897', 'EG11865', 'EG11450', 'G7217', 'G812', 'EG11662', 'EG10283', 'EG11095', 'G6700', 'G6325', 'EG11310', 'G7856']
8	logistic	{'penalty': 'l2', 'C': 1.0}	0.8	0.0	0.8448509485094851	0.9991869918699188	1.0	0.0	0.15514905149051494	0	101	['EG10771', 'EG10489', 'EG10091', 'EG10660', 'EG11806', 'G7724', 'EG10118', 'G6784', 'G6607', 'EG10773', 'EG10593', 'G6546', 'G6353', 'G0-10473', 'EG10998', 'G7031', 'EG11489', 'G7917', 'EG11398', 'EG10617', 'G6783', 'G6990', 'EG10673', 'G8207', 'EG11927', 'EG11498', 'G7166', 'EG10109', 'G7236', 'EG11710', 'G0-10434', 'EG11857', 'G7921', 'G8202', 'EG10140', 'EG12242', 'EG11897', 'EG11450', 'G7716', 'EG10361', 'EG11865', 'G7217', 'EG11662', 'EG11495', 'G812', 'EG11095', 'EG10283', 'G6325', 'EG11310', 'EG10987', 'EG10356', 'G6700', 'G6787', 'G7734', 'G7856', 'G6159', 'EG10021', 'EG11905', 'EG10757', 'EG11769', 'EG10601', 'EG10576', 'G7763', 'EG10488', 'G6928', 'EG11242', 'G6544', 'EG11693', 'EG10725', 'EG12341', 'EG10297', 'G6840', 'G6466', 'G6916', 'EG10092', 'EG12861', 'EG10652', 'G6658', 'EG12855', 'EG10119', 'G6656', 'EG12003', 'EG20249', 'G6863', 'EG11302', 'G7267', 'EG11156', 'EG12033', 'G6614', 'EG10315', 'EG12216', 'G6664', 'EG10920', 'G6663', 'EG10988', 'EG10491', 'EG10602', 'EG10982', 'EG10787', 'G7740', 'G7080']
9	logistic	{'C': 1.0, 'penalty': 'l2'}	0.9	0.0	0.8448509485094851	0.9959349593495935	1.0	0.0	0.15514905149051494	0	101	['EG10771', 'EG10489', 'EG10091', 'EG11806', 'EG10660', 'G7724', 'EG10118', 'G6784', 'G6607', 'EG10773', 'EG10593', 'G6546', 'G6353', 'G0-10473', 'G7031', 'EG10998', 'EG11398', 'EG11489', 'G7917', 'G6783', 'EG10673', 'EG10617', 'G8207', 'G6990', 'EG11927', 'EG11498', 'G7166', 'EG11857', 'G0-10434', 'EG11710', 'EG10109', 'G8202', 'EG11495', 'EG12242', 'G7716', 'G7236', 'EG10361', 'EG10140', 'G7921', 'EG11450', 'EG10283', 'G7217', 'EG11095', 'EG11897', 'EG11865', 'G6787', 'EG10356', 'G6700', 'EG20249', 'G812', 'G6159', 'EG10021', 'EG10652', 'EG10757', 'G6325', 'G7856', 'EG10987', 'G6840', 'G7734', 'EG10315', 'EG12261', 'EG10601', 'EG11662', 'EG11905', 'EG11156', 'EG11769', 'G6928', 'EG10982', 'G7740', 'EG11310', 'EG10488', 'EG10576', 'EG10787', 'EG12258', 'EG11242', 'EG12861', 'EG10415', 'EG11302', 'G377', 'EG10725', 'EG12855', 'EG10497', 'EG10119', 'EG12341', 'EG11612', 'EG10297', 'EG12359', 'G6466', 'EG10092', 'EG12003', 'EG10210', 'G7080', 'G6863', 'EG10111', 'G6673', 'EG12216', 'G6943', 'EG10491', 'EG10669', 'G6663', 'G7267']
