	16S[Ct]
HRG001M_S39	36.03799819946289
HRG001M_S19	24.441999435424805
HRG001M_S41	23.62100028991699
HRG003E_S40	31.718000411987305
HRG003E_S20	37.5890007019043
HRG004N_S41	32.998001098632805
HRG004N_S21	23.63800048828125
HRG004N_S39	40.30500030517578
HRG005W_S22	20.395000457763672
HRG005W_S42	15.767000198364258
HRG006F_S60	35.36800003051758
HRG007O_S61	27.16900062561035
HRG008X_S23	15.612000465393065
HRG008X_S43	24.000999450683594
HRG009G_S24	24.03899955749512
HRG009G_S44	19.652999877929688
HRG010I_S62	22.027000427246094
HRG011R_S63	18.190000534057614
HRG012A_S64	28.895999908447266
HRG014S_S65	18.023000717163086
HRG015B_S82	23.53899955749512
HRG015B_S25	36.4379997253418
HRG015B_S45	20.489999771118164
HRG016K_S1	25.03700065612793
HRG016Ka_S3	17.35099983215332
HRG016K_S20	28.36400032043457
HRG017T_S66	29.625
HRG018C_S45	36.70700073242188
HRG018C_S26	16.820999145507812
HRG018C_S46	33.001998901367195
HRG019La_S4	40.7599983215332
HRG020Na_S7	38.72000122070313
HRG020N_S25	34.036998748779304
HRG021W_S7	19.98200035095215
HRG021Wa_S8	17.052000045776367
HRG021W_S26	32.34000015258789
HRG022F_S27	25.968000411987305
HRG022F_S47	20.114999771118164
HRG023O_S47	33.57899856567383
HRG023O_S28	37.28300094604492
HRG023O_S48	30.520000457763672
HRG024X_S67	41.736000061035156
HRG025G_S3	17.75
HRG025G_S80	16.822999954223633
HRG025G_S22	24.923999786376953
HRG026P_S4	19.43600082397461
HRG026Pa_S5	13.564000129699707
HRG026P_S23	21.33799934387207
HRG027Y_S68	28.660999298095703
HRG028H_S69	34.90200042724609
HRG029Q_S5	22.489999771118164
HRG029Qa_S6	17.346000671386722
HRG029Q_S24	23.47500038146973
HRG030S_S48	38.25600051879883
HRG030S_S29	44.42399978637695
HRG030S_S49	32.28300094604492
HRG031B_S49	34.089000701904304
HRG032K_S70	37.29700088500977
HRG033T_S30	19.15900039672852
HRG033T_S51	18.538000106811523
HRG034C_S71	18.575000762939453
HRG037D_S50	36.125
HRG037D_S32	33.85499954223633
HRG037D_S52	29.827999114990234
HRG038M_S51	24.231000900268555
HRG038M_S31	24.231000900268555
HRG038M_S53	18.33099937438965
HRG039V_S52	36.95600128173828
HRG039V_S33	36.3380012512207
HRG039V_S54	23.58699989318848
HRG040X_S8	17.038999557495114
HRG040Xa_S9	13.237000465393065
HRG040X_S27	25.812000274658203
HRG041G_S53	35.96900177001953
HRG041G_S34	30.85700035095215
HRG043Y_S74	14.92300033569336
HRG044H_S75	23.02199935913086
HRG045Q_S54	24.006000518798828
HRG045Q_S35	17.194000244140625
HRG045Q_S56	15.234999656677244
HRG046Z_S55	22.190000534057614
HRG049Aa_S10	25.8129997253418
HRG049A_S29	27.26499938964844
HRG050C_S56	39.1150016784668
HRG052Ua_S11	22.433000564575195
HRG052U_S30	12.673999786376953
HRG053Da_S12	22.141000747680664
HRG053D_S31	30.548999786376953
HRG055Va_S13	39.137001037597656
HRG055V_S32	19.13800048828125
HRG056Ea_S14	30.21299934387207
HRG056E_S33	12.986000061035154
HRG058Wa_S15	16.84000015258789
HRG058W_S34	19.849000930786133
HRG059Fa_S16	34.208999633789055
HRG059F_S35	31.993000030517575
HRG060Ha_S17	31.06599998474121
HRG060H_S36	20.21199989318848
HRG061Qa_S18	23.87299919128418
HRG061Q_S37	34.18399810791016
HRG062Za_S2	22.983999252319336
HRG062Zb_S19	12.204000473022461
HRG062Z_S38	17.46299934387207
