EC	Name
EC:1.1.1.1	Alcohol dehydrogenase
EC:1.1.1.2	Alcohol dehydrogenase (NADP(+))
EC:1.1.1.3	Homoserine dehydrogenase
EC:1.1.1.4	(R,R)-butanediol dehydrogenase
EC:1.1.1.5	Transferred entry: 1.1.1.303 and 1.1.1.304
EC:1.1.1.6	Glycerol dehydrogenase
EC:1.1.1.7	Propanediol-phosphate dehydrogenase
EC:1.1.1.8	Glycerol-3-phosphate dehydrogenase (NAD(+))
EC:1.1.1.9	D-xylulose reductase
EC:1.1.1.10	L-xylulose reductase
EC:1.1.1.11	D-arabinitol 4-dehydrogenase
EC:1.1.1.12	L-arabinitol 4-dehydrogenase
EC:1.1.1.13	L-arabinitol 2-dehydrogenase
EC:1.1.1.14	L-iditol 2-dehydrogenase
EC:1.1.1.15	D-iditol 2-dehydrogenase
EC:1.1.1.16	Galactitol 2-dehydrogenase
EC:1.1.1.17	Mannitol-1-phosphate 5-dehydrogenase
EC:1.1.1.18	Inositol 2-dehydrogenase
EC:1.1.1.19	Glucuronate reductase
EC:1.1.1.20	Glucuronolactone reductase
EC:1.1.1.21	Aldose reductase
EC:1.1.1.22	UDP-glucose 6-dehydrogenase
EC:1.1.1.23	Histidinol dehydrogenase
EC:1.1.1.24	Quinate dehydrogenase
EC:1.1.1.25	Shikimate dehydrogenase
EC:1.1.1.26	Glyoxylate reductase
EC:1.1.1.27	L-lactate dehydrogenase
EC:1.1.1.28	D-lactate dehydrogenase
EC:1.1.1.29	Glycerate dehydrogenase
EC:1.1.1.30	3-hydroxybutyrate dehydrogenase
EC:1.1.1.31	3-hydroxyisobutyrate dehydrogenase
EC:1.1.1.32	Mevaldate reductase
EC:1.1.1.33	Mevaldate reductase (NADPH)
EC:1.1.1.34	Hydroxymethylglutaryl-CoA reductase (NADPH)
EC:1.1.1.35	3-hydroxyacyl-CoA dehydrogenase
EC:1.1.1.36	Acetoacetyl-CoA reductase
EC:1.1.1.37	Malate dehydrogenase
EC:1.1.1.38	Malate dehydrogenase (oxaloacetate-decarboxylating)
EC:1.1.1.39	Malate dehydrogenase (decarboxylating)
EC:1.1.1.40	Malate dehydrogenase (oxaloacetate-decarboxylating) (NADP(+))
EC:1.1.1.41	Isocitrate dehydrogenase (NAD(+))
EC:1.1.1.42	Isocitrate dehydrogenase (NADP(+))
EC:1.1.1.43	Phosphogluconate 2-dehydrogenase
EC:1.1.1.44	Phosphogluconate dehydrogenase (NADP(+)-dependent, decarboxylating)
EC:1.1.1.45	L-gulonate 3-dehydrogenase
EC:1.1.1.46	L-arabinose 1-dehydrogenase
EC:1.1.1.47	Glucose 1-dehydrogenase (NAD(P)(+))
EC:1.1.1.48	D-galactose 1-dehydrogenase
EC:1.1.1.49	Glucose-6-phosphate dehydrogenase (NADP(+))
EC:1.1.1.50	3-alpha-hydroxysteroid 3-dehydrogenase (Si-specific)
EC:1.1.1.51	3(or 17)-beta-hydroxysteroid dehydrogenase
EC:1.1.1.52	3-alpha-hydroxycholanate dehydrogenase (NAD(+))
