	HRG001M_S19	HRG001M_S39	HRG001M_S41	HRG002Y_S59	HRG003E_S20	HRG003E_S40	HRG004N_S21	HRG004N_S39	HRG004N_S41	HRG005W_S22	HRG005W_S42	HRG006F_S60	HRG007O_S61	HRG008X_S23	HRG008X_S43	HRG009G_S24	HRG009G_S44	HRG010I_S62	HRG011R_S63	HRG012A_S64	HRG014S_S65	HRG015B_S25	HRG015B_S45	HRG015B_S82	HRG016K_S1	HRG016K_S20	HRG016Ka_S3	HRG017T_S66	HRG018C_S26	HRG018C_S45	HRG018C_S46	HRG019L_S2	HRG019L_S21	HRG019La_S4	HRG020N_S25	HRG020N_S6	HRG020Na_S7	HRG021W_S26	HRG021W_S7	HRG021Wa_S8	HRG022F_S27	HRG022F_S46	HRG022F_S47	HRG023O_S28	HRG023O_S47	HRG023O_S48	HRG025G_S22	HRG025G_S3	HRG025G_S80	HRG026P_S23	HRG026P_S4	HRG026Pa_S5	HRG027Y_S68	HRG029Q_S24	HRG029Q_S5	HRG029Qa_S6	HRG030S_S29	HRG030S_S48	HRG030S_S49	HRG031B_S49	HRG031B_S50	HRG032K_S70	HRG033T_S30	HRG033T_S51	HRG034C_S71	HRG036U_S72	HRG037D_S32	HRG037D_S52	HRG038M_S51	HRG038M_S53	HRG039V_S33	HRG039V_S52	HRG039V_S54	HRG040X_S27	HRG040X_S8	HRG041G_S34	HRG041G_S53	HRG042P_S73	HRG043Y_S74	HRG044H_S75	HRG045Q_S35	HRG045Q_S54	HRG045Q_S56	HRG046Z_S55	HRG047I_S28	HRG049A_S29	HRG049Aa_S10	HRG050C_S56	HRG052U_S30	HRG052Ua_S11	HRG053D_S31	HRG053Da_S12	HRG055V_S32	HRG055Va_S13	HRG056E_S33	HRG056Ea_S14	HRG058W_S34	HRG058Wa_S15	HRG059F_S35	HRG059Fa_S16	HRG060H_S36	HRG060Ha_S17	HRG061D_S1	HRG061Q_S37	HRG061Qa_S18	HRG062Z_S38	HRG062Zb_S19
Otu000009	15	0	554	59	21	2875	6	1	0	2435	1041	59	1	911	7	6204	850	1779	1829	5834	1792	1079	773	2295	2375	20	30	73	8	2	121	366	941	185	1	2	22	1	5259	5	153	16	211	295	177	605	19150	64	3885	850	490	11	3287	785	311	13	0	3	2	166	58	2	362	2231	2855	6052	0	930	88	2	146	0	1102	157	56	131	5	545	1499	42	0	80	1	4728	5715	10290	521	3018	7	542	0	9118	8751	22480	1	648	162	32590	1	18	1	14	0	1	338	0	3
Otu000040	0	0	60	0	1	432	0	0	0	32	179	2	0	2	0	231	0	24	0	233	7	93	29	5	300	0	0	0	0	0	12	2	6	0	0	0	2	0	218	0	24	3	25	8	18	43	895	4	29	274	7	9	15	6	27	0	0	0	0	1	0	0	15	267	250	13	0	24	11	1	0	0	140	18	1	0	0	12	8	2	0	1	1	1	63	4599	164	221	1	51	0	269	1177	735	0	488	5	1036	0	1	0	1	0	0	101	0	0
Otu000037	13	4	125	63	90	1	0	0	0	343	0	286	0	1	0	0	0	237	2	0	0	1251	148	0	0	1	0	6	0	1	0	0	0	0	1	0	0	9	0	0	0	0	3	0	0	0	529	0	0	4027	1	4	0	2	0	0	0	2	0	1	4	0	206	0	9	34	0	0	740	4	72	366	0	126	1	218	0	0	667	0	21	0	231	0	85	3729	2681	212	0	65	0	1	1568	76	0	10	0	1	0	0	5	0	0	0	7	75	0
Otu000002	10	1	3657	35	17	72	3	0	2	1752	219	26	1	95	16	387	353	1249	188	331	41	909	769	8	55	11	46	0	0	0	0	0	6	0	6	0	249	3	223	39	357	0	297	397	0	28	5970	443	850	11860	476	376	293	4280	138	0	0	4	2331	72	490	0	3941	205	143	767	0	0	794	364	1094	55	35	1314	0	801	0	2	1847	120	394	245	828	721	1420	11690	7816	2623	4	2114	7	51	4132	9356	460	37	43	10390	1	6	53	7	24	0	11140	1711	8396
Otu000067	25	9	39	59	246	2	0	0	0	1149	0	698	2	1	2	0	153	772	2	0	611	235	26	0	0	0	7	28	0	0	0	0	197	10	0	0	0	155	0	0	1	0	19	0	0	0	90	1	1	1512	3	28	27	16	0	0	0	2	0	20	1	0	199	5	15	67	0	0	232	25	18	12	0	94	7	35	0	0	431	0	137	0	1061	0	347	2831	1060	2417	0	21	2	23	3300	0	0	4	1	5	0	0	16	2	1	0	926	129	0
Otu000052	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	11	1	0	0	0	613	3	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	7	0	0	0	0	0	0	0	38	1	981	28	0	0	0	0	0	0	0	0	0	0	0	25	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	38	515	0	0	51	0	0	97	0	522	0	1	784	0	0	0	0	0	0	2	132	315
Otu000068	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	24	0	2	0	20	0	2	2	0	6	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	13	0	0	0	464	2	1	1	263	3	0	2	12	0	0	0	0	0	0	0	38	2	1	6	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	5	90	0	0	48	0	32	0	1007	0	0	108	0	2	1	0	161	0	0	0	0	0	0	0	150	848
Otu000001	954	11090	144	3336	638	235	291	1002	18	539	0	945	1049	521	93	181	24	362	1136	226	144	7588	391	580	624	20190	118	12	2132	151	57	5410	1017	1000	2413	2558	516	16790	737	155	6078	5828	151	16770	2330	420	27	1064	7	759	377	93	11840	2159	17	3	11090	1124	3820	2696	1651	100	449	125	233	70	1834	468	4628	28	598	15550	42	2757	265	389	1691	2109	43	10	211	1	448	3739	47	1518	493	959	4770	5438	3316	2229	957	124	462	2299	1	553	869	8069	274	8704	0	8239	1660	224	390
Otu000032	0	0	0	0	0	0	0	0	0	0	101	0	0	0	3	25	36	0	0	20	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	2	0	0	21	0	0	0	15	0	63	6	0	4	0	13	130	0	1	0	0	0	0	0	0	1	1	0	0	0	1	18	0	0	0	0	0	0	0	0	365	0	406	0	1353	0	0	628	1	1	0	41	0	0	782	0	2	1	0	1206	0	0	4	1	0	0	1	439	2580
Otu000084	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	3	0	0	0	7	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	13	0	7	0	0	0	0	0	0	0	0	1	0	0	65	1	7	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	12	0	0	0	237	0	0	0	0	0	0	1	0	4	0	0	3	25	1	1	1	0	7	486	154	8	0	0	5	0	0	0	27	0	0	2	18	8
