LINE 501 : 2021-10-25 13:27:02,175 [INFO    ] Parsing data files for GSEA.............................
LINE 135 : 2021-10-25 13:27:02,230 [INFO    ] 0175 gene_sets have been filtered out when max_size=500 and min_size=5
LINE 505 : 2021-10-25 13:27:02,230 [INFO    ] 0006 gene_sets used for further statistical testing.....
LINE 506 : 2021-10-25 13:27:02,230 [INFO    ] Start to run GSEA...Might take a while..................
LINE 465 : 2021-10-25 13:27:02,230 [DEBUG   ] Start to compute enrichment scores......................
LINE 489 : 2021-10-25 13:27:02,230 [DEBUG   ] Start to compute es and esnulls........................
LINE 652 : 2021-10-25 13:27:06,177 [DEBUG   ] Start to compute pvals..................................
LINE 656 : 2021-10-25 13:27:06,180 [DEBUG   ] Start to compute nes and nesnull........................
LINE 660 : 2021-10-25 13:27:06,182 [DEBUG   ] Start to compute fdrs..................................
LINE 634 : 2021-10-25 13:27:06,183 [DEBUG   ] Statistical testing finished.............................
LINE 514 : 2021-10-25 13:27:06,183 [INFO    ] Start to generate gseapy reports, and produce figures...
LINE 526 : 2021-10-25 13:27:06,203 [INFO    ] Congratulations. GSEApy runs successfully................

LINE 607 : 2021-10-25 13:27:12,632 [DEBUG   ] locator: <matplotlib.colorbar._ColorbarAutoLocator object at 0x7fb0893062e0>
LINE 652 : 2021-10-25 13:27:12,633 [DEBUG   ] Using auto colorbar locator on colorbar
LINE 653 : 2021-10-25 13:27:12,633 [DEBUG   ] locator: <matplotlib.colorbar._ColorbarAutoLocator object at 0x7fb0893062e0>
LINE 822 : 2021-10-25 13:27:12,633 [DEBUG   ] Setting pcolormesh
LINE 1246: 2021-10-25 13:27:14,073 [DEBUG   ] findfont: Matching sans\-serif:style=normal:variant=normal:weight=normal:stretch=normal:size=13.0.
LINE 1258: 2021-10-25 13:27:14,073 [DEBUG   ] findfont: score(<Font 'cmss10' (cmss10.ttf) normal normal 400 normal>) = 10.05
LINE 1258: 2021-10-25 13:27:14,073 [DEBUG   ] findfont: score(<Font 'DejaVu Sans Mono' (DejaVuSansMono-Oblique.ttf) oblique normal 400 normal>) = 11.05
LINE 1258: 2021-10-25 13:27:14,073 [DEBUG   ] findfont: score(<Font 'STIXSizeOneSym' (STIXSizOneSymBol.ttf) normal normal bold normal>) = 10.335
LINE 1258: 2021-10-25 13:27:14,073 [DEBUG   ] findfont: score(<Font 'STIXGeneral' (STIXGeneralBol.ttf) normal normal bold normal>) = 10.335
LINE 1258: 2021-10-25 13:27:14,073 [DEBUG   ] findfont: score(<Font 'STIXSizeThreeSym' (STIXSizThreeSymReg.ttf) normal normal regular normal>) = 10.05
LINE 1258: 2021-10-25 13:27:14,074 [DEBUG   ] findfont: score(<Font 'STIXSizeFourSym' (STIXSizFourSymBol.ttf) normal normal bold normal>) = 10.335
LINE 1258: 2021-10-25 13:27:14,074 [DEBUG   ] findfont: score(<Font 'STIXGeneral' (STIXGeneral.ttf) normal normal regular normal>) = 10.05
LINE 1258: 2021-10-25 13:27:14,074 [DEBUG   ] findfont: score(<Font 'cmtt10' (cmtt10.ttf) normal normal 400 normal>) = 10.05
LINE 1258: 2021-10-25 13:27:14,074 [DEBUG   ] findfont: score(<Font 'DejaVu Sans' (DejaVuSans-Bold.ttf) normal normal bold normal>) = 2.335
LINE 1258: 2021-10-25 13:27:14,074 [DEBUG   ] findfont: score(<Font 'STIXSizeTwoSym' (STIXSizTwoSymReg.ttf) normal normal regular normal>) = 10.05
LINE 1258: 2021-10-25 13:27:14,074 [DEBUG   ] findfont: score(<Font 'cmex10' (cmex10.ttf) normal normal 400 normal>) = 10.05
LINE 1258: 2021-10-25 13:27:14,074 [DEBUG   ] findfont: score(<Font 'STIXSizeOneSym' (STIXSizOneSymReg.ttf) normal normal regular normal>) = 10.05
LINE 1258: 2021-10-25 13:27:14,074 [DEBUG   ] findfont: score(<Font 'STIXSizeThreeSym' (STIXSizThreeSymBol.ttf) normal normal bold normal>) = 10.335
LINE 1258: 2021-10-25 13:27:14,074 [DEBUG   ] findfont: score(<Font 'STIXNonUnicode' (STIXNonUniBolIta.ttf) italic normal bold normal>) = 11.335
LINE 1258: 2021-10-25 13:27:14,074 [DEBUG   ] findfont: score(<Font 'DejaVu Serif Display' (DejaVuSerifDisplay.ttf) normal normal 400 normal>) = 10.05
LINE 1258: 2021-10-25 13:27:14,074 [DEBUG   ] findfont: score(<Font 'cmb10' (cmb10.ttf) normal normal 400 normal>) = 10.05
LINE 1258: 2021-10-25 13:27:14,074 [DEBUG   ] findfont: score(<Font 'DejaVu Sans' (DejaVuSans-Oblique.ttf) oblique normal 400 normal>) = 3.05
LINE 1258: 2021-10-25 13:27:14,074 [DEBUG   ] findfont: score(<Font 'DejaVu Sans Mono' (DejaVuSansMono-BoldOblique.ttf) oblique normal bold normal>) = 11.335
LINE 1258: 2021-10-25 13:27:14,074 [DEBUG   ] findfont: score(<Font 'DejaVu Sans' (DejaVuSans.ttf) normal normal 400 normal>) = 2.05
LINE 1258: 2021-10-25 13:27:14,074 [DEBUG   ] findfont: score(<Font 'DejaVu Sans Mono' (DejaVuSansMono-Bold.ttf) normal normal bold normal>) = 10.335
LINE 1258: 2021-10-25 13:27:14,074 [DEBUG   ] findfont: score(<Font 'DejaVu Serif' (DejaVuSerif-BoldItalic.ttf) italic normal bold normal>) = 11.335
LINE 1258: 2021-10-25 13:27:14,074 [DEBUG   ] findfont: score(<Font 'DejaVu Sans Mono' (DejaVuSansMono.ttf) normal normal 400 normal>) = 10.05
LINE 1258: 2021-10-25 13:27:14,074 [DEBUG   ] findfont: score(<Font 'DejaVu Sans Display' (DejaVuSansDisplay.ttf) normal normal 400 normal>) = 10.05
LINE 1258: 2021-10-25 13:27:14,074 [DEBUG   ] findfont: score(<Font 'cmsy10' (cmsy10.ttf) normal normal 400 normal>) = 10.05
LINE 1258: 2021-10-25 13:27:14,074 [DEBUG   ] findfont: score(<Font 'DejaVu Serif' (DejaVuSerif-Italic.ttf) italic normal 400 normal>) = 11.05
LINE 1258: 2021-10-25 13:27:14,075 [DEBUG   ] findfont: score(<Font 'cmmi10' (cmmi10.ttf) normal normal 400 normal>) = 10.05
LINE 1258: 2021-10-25 13:27:14,075 [DEBUG   ] findfont: score(<Font 'STIXGeneral' (STIXGeneralBolIta.ttf) italic normal bold normal>) = 11.335
LINE 1258: 2021-10-25 13:27:14,075 [DEBUG   ] findfont: score(<Font 'DejaVu Serif' (DejaVuSerif.ttf) normal normal 400 normal>) = 10.05
LINE 1258: 2021-10-25 13:27:14,075 [DEBUG   ] findfont: score(<Font 'STIXNonUnicode' (STIXNonUniBol.ttf) normal normal bold normal>) = 10.335
LINE 1258: 2021-10-25 13:27:14,075 [DEBUG   ] findfont: score(<Font 'STIXNonUnicode' (STIXNonUniIta.ttf) italic normal 400 normal>) = 11.05
LINE 1258: 2021-10-25 13:27:14,075 [DEBUG   ] findfont: score(<Font 'DejaVu Serif' (DejaVuSerif-Bold.ttf) normal normal bold normal>) = 10.335
LINE 1258: 2021-10-25 13:27:14,075 [DEBUG   ] findfont: score(<Font 'STIXSizeFiveSym' (STIXSizFiveSymReg.ttf) normal normal regular normal>) = 10.05
LINE 1258: 2021-10-25 13:27:14,075 [DEBUG   ] findfont: score(<Font 'STIXSizeTwoSym' (STIXSizTwoSymBol.ttf) normal normal bold normal>) = 10.335
LINE 1258: 2021-10-25 13:27:14,075 [DEBUG   ] findfont: score(<Font 'STIXSizeFourSym' (STIXSizFourSymReg.ttf) normal normal regular normal>) = 10.05
LINE 1258: 2021-10-25 13:27:14,075 [DEBUG   ] findfont: score(<Font 'STIXNonUnicode' (STIXNonUni.ttf) normal normal regular normal>) = 10.05
LINE 1258: 2021-10-25 13:27:14,075 [DEBUG   ] findfont: score(<Font 'cmr10' (cmr10.ttf) normal normal 400 normal>) = 10.05
LINE 1258: 2021-10-25 13:27:14,075 [DEBUG   ] findfont: score(<Font 'STIXGeneral' (STIXGeneralItalic.ttf) italic normal 400 normal>) = 11.05
LINE 1258: 2021-10-25 13:27:14,075 [DEBUG   ] findfont: score(<Font 'DejaVu Sans' (DejaVuSans-BoldOblique.ttf) oblique normal bold normal>) = 3.335
LINE 1258: 2021-10-25 13:27:14,075 [DEBUG   ] findfont: score(<Font 'Noto Sans Mandaic' (NotoSansMandaic-Regular.ttf) normal normal regular normal>) = 10.05
LINE 1258: 2021-10-25 13:27:14,075 [DEBUG   ] findfont: score(<Font 'Noto Sans Old Italic' (NotoSansOldItalic-Regular.ttf) italic normal regular normal>) = 11.05
LINE 1258: 2021-10-25 13:27:14,075 [DEBUG   ] findfont: score(<Font 'Hiragino Sans' (ヒラギノ角ゴシック W1.ttc) normal normal 400 normal>) = 10.05
LINE 1258: 2021-10-25 13:27:14,075 [DEBUG   ] findfont: score(<Font 'Khmer Sangam MN' (Khmer Sangam MN.ttf) normal normal 400 normal>) = 10.05
LINE 1258: 2021-10-25 13:27:14,075 [DEBUG   ] findfont: score(<Font 'Chalkboard SE' (ChalkboardSE.ttc) normal normal light normal>) = 10.24
LINE 1258: 2021-10-25 13:27:14,075 [DEBUG   ] findfont: score(<Font 'Times New Roman' (Times New Roman Bold.ttf) normal normal roman normal>) = 10.145
LINE 1258: 2021-10-25 13:27:14,075 [DEBUG   ] findfont: score(<Font 'STIXIntegralsUp' (STIXIntUpBol.otf) normal normal bold normal>) = 10.335
LINE 1258: 2021-10-25 13:27:14,075 [DEBUG   ] findfont: score(<Font 'Charter' (Charter.ttc) normal normal roman normal>) = 10.145
LINE 1258: 2021-10-25 13:27:14,075 [DEBUG   ] findfont: score(<Font 'Malayalam MN' (Malayalam MN.ttc) normal normal 400 normal>) = 10.05
LINE 1258: 2021-10-25 13:27:14,076 [DEBUG   ] findfont: score(<Font 'DIN Alternate' (DIN Alternate Bold.ttf) normal normal bold normal>) = 10.335
LINE 1258: 2021-10-25 13:27:14,076 [DEBUG   ] findfont: score(<Font '.LastResort' (LastResort.otf) normal normal 400 normal>) = 10.05
LINE 1258: 2021-10-25 13:27:14,076 [DEBUG   ] findfont: score(<Font 'Kannada MN' (Kannada MN.ttc) normal normal 400 normal>) = 10.05
